Name,Type,Category,Visit_Exhibition,Visit_Place,Opening_Time,Under_18_Teaching,Under_18_NO_teaching,Region,Year,Department,Place,Under_18_Full_Price,Under_18_Reduced_Price,Under_18_Gratis,Visit_Unspecific,Arrangements,Participate_Arrangement,Under_18_Arrangement_Teaching,Under_18_Arrangement_NO_teaching,Over_18_Arrangement,Livestream,Participate_Livestream
Nationalmuseet,Statslig i henhold til museumsloven,Kulturhistorisk museum,1729101.0,1729101.0,15613.0,,,Byen København,2018,,,,,,,,,,,,,
Louisiana Museum Of Modern Art,Statsanerkendt i henhold til museumsloven,Kunstmuseum,755584.0,755584.0,2995.0,75851.0,16997.0,Nordsjælland,2018,,,,,,,,,,,,,
Den Gamle By Danmarks Købstadsmuseum,Statsanerkendt i henhold til museumsloven,Kulturhistorisk museum,546485.0,546485.0,2519.0,103273.0,40446.0,Østjylland,2018,,,,,,,,,,,,,
Kongernes Samling,Statsanerkendt i henhold til museumsloven,Kulturhistorisk museum,545146.0,545146.0,4194.0,62059.0,11909.0,Byen København,2018,,,,,,,,,,,,,
Aros Aarhus Kunstmuseum,Statsanerkendt i henhold til museumsloven,Kunstmuseum,508008.0,722109.0,2514.0,68793.0,46148.0,Østjylland,2018,,,,,,,,,,,,,
Ny Carlsberg Glyptotek,Statsanerkendt i henhold til museumsloven,Kunstmuseum,448934.0,448934.0,2347.0,19580.0,16067.0,Byen København,2018,,,,,,,,,,,,,
Arken Museum For Moderne Kunst,Statsanerkendt i henhold til museumsloven,Kunstmuseum,414705.0,414705.0,2510.0,56282.0,,Københavns Omegn,2018,,,,,,,,,,,,,
Moesgård Museum,Statsanerkendt i henhold til museumsloven,Kulturhistorisk museum,368656.0,393415.0,9089.0,71056.0,22399.0,Østjylland,2018,,,,,,,,,,,,,
Odense Bys Museer,Statsanerkendt i henhold til museumsloven,Kulturhistorisk museum,328660.0,349283.0,7949.0,67724.0,21646.0,Fyn,2018,,,,,,,,,,,,,
Statens Museum For Kunst,Statslig i henhold til museumsloven,Kunstmuseum,308974.0,308974.0,2083.0,9238.0,29366.0,Byen København,2018,,,,,,,,,,,,,
Designmuseum Danmark,Statsanerkendt i henhold til museumsloven,Kunstmuseum,274619.0,279060.0,2644.0,13288.0,6467.0,Byen København,2018,,,,,,,,,,,,,
Vardemuseerne,Statsanerkendt i henhold til museumsloven,Kulturhistorisk museum,273626.0,273626.0,12002.0,55823.0,0.0,Sydjylland,2018,,,,,,,,,,,,,
Statens Naturhistoriske Museum,Statslig i henhold til museumsloven,Naturhistorisk museum,269351.0,269351.0,4877.0,67792.0,28922.0,Byen København,2018,,,,,,,,,,,,,
Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane,Skjern Reberbane
Museum Sydøstdanmark,Statsanerkendt i henhold til museumsloven,Kulturhistorisk museum,193198.0,237505.0,9200.0,56804.0,5634.0,Vest- og Sydsjælland,2018,,,,,,,,,,,,,
Museum Sønderjylland,Statsanerkendt i henhold til museumsloven,Blandet,191960.0,195250.0,15711.0,24872.0,31015.0,Sydjylland,2018,,,,,,,,,,,,,
Koldingshus,Statsanerkendt i henhold til museumsloven,Kulturhistorisk museum,172072.0,176990.0,2527.0,16497.0,9973.0,Sydjylland,2018,,,,,,,,,,,,,
Vikingeskibsmuseet,Statsanerkendt i henhold til museumsloven,Kulturhistorisk museum,169150.0,169150.0,2360.0,33440.0,10032.0,Østsjælland,2018,,,,,,,,,,,,,
