Name,Type,Category,Visit_Exhibition,Visit_Place,Opening_Time,Under_18_Teaching,Under_18_NO_teaching,Region,Year,Department,Place,Under_18_Full_Price,Under_18_Reduced_Price,Under_18_Gratis,Visit_Unspecific,Arrangements,Participate_Arrangement,Under_18_Arrangement_Teaching,Under_18_Arrangement_NO_teaching,Over_18_Arrangement,Livestream,Participate_Livestream,Visitors_Exhibition_per_opening_hour
Elværket,Statsanerkendt i henhold til museumsloven,Cultural History Museum,12780,12780,1800,0.0,14710,Nordsjælland,2019,Afdeling,Museum Nordsjælland,,,,,,,,,,,,7.1
Museumsgården,Statsanerkendt i henhold til museumsloven,Cultural History Museum,20850,34350,6180,0.0,414,Vest- og Sydsjælland,2019,Afdeling,Museum Sydøstdanmark,,,,,,,,,,,,3.373786408
Køng Museum,Statsanerkendt i henhold til museumsloven,Cultural History Museum,12280,27280,2560,0.0,37,Vest- og Sydsjælland,2019,Afdeling,Museum Sydøstdanmark,,,,,,,,,,,,4.796875
Tadre Mølle Museum,Statsanerkendt i henhold til museumsloven,Cultural History Museum,83050,134130,4500,0.0,0,Østsjælland,2019,Afdeling,Romu,,,,,,,,,,,,18.45555556
Nyborg Slot,Statsanerkendt i henhold til museumsloven,Cultural History Museum,0,0,0,0.0,0,Fyn,2019,Afdeling,Østfyns Museer,,,,,,,,,,,,0.0
Skjoldborgs Barndomshjem,Statsanerkendt i henhold til museumsloven,Cultural History Museum,1520,1520,930,0.0,28,Nordjylland,2019,Afdeling,Museum Thy,,,,,,,,,,,,1.634408602
Fiskerhuset I Agger,Statsanerkendt i henhold til museumsloven,Cultural History Museum,4580,4580,1260,0.0,54,Nordjylland,2019,Afdeling,Museum Thy,,,,,,,,,,,,3.634920635
Hobro Museum,Statsanerkendt i henhold til museumsloven,Cultural History Museum,18270,18270,5240,0.0,150,Nordjylland,2019,Afdeling,Nordjyllands Historiske Museum,,,,,,,,,,,,3.486641221
Lystfartøjsmuseet,Statsanerkendt i henhold til museumsloven,Cultural History Museum,11240,11240,5440,0.0,124,Nordjylland,2019,Afdeling,Nordjyllands Historiske Museum,,,,,,,,,,,,2.066176471
Hals Museum Hals Skanse,Statsanerkendt i henhold til museumsloven,Cultural History Museum,112280,112280,45620,0.0,0,Nordjylland,2019,Afdeling,Nordjyllands Historiske Museum,,,,,,,,,,,,2.461201228
Haderup Museum,Statsanerkendt i henhold til museumsloven,Cultural History Museum,2310,2310,100,0.0,0,Vestjylland,2019,Afdeling,Museum Midtjylland,,,,,,,,,,,,23.1
Hattemagerhuset I Tarm,Statsanerkendt i henhold til museumsloven,Cultural History Museum,0,0,0,0.0,0,Vestjylland,2019,Afdeling,Ringkøbing-Skjern Museum,,,,,,,,,,,,0.0
Gåsemandens Gaard,Statsanerkendt i henhold til museumsloven,Cultural History Museum,3940,3940,1020,0.0,64,Vestjylland,2019,Afdeling,Ringkøbing-Skjern Museum,,,,,,,,,,,,3.862745098
Viborg Museum,Statsanerkendt i henhold til museumsloven,Cultural History Museum,0,96310,0,0.0,0,Vestjylland,2019,Afdeling,Viborg Museum,,,,,,,,,,,,0.0
Besættelsesudstillingen,Statsanerkendt i henhold til museumsloven,Cultural History Museum,380,380,0,0.0,0,Sydjylland,2019,Afdeling,Billund Museum,,,,,,,,,,,,0.0
Esbjerg Vandtårn,Statsanerkendt i henhold til museumsloven,Cultural History Museum,28000,29000,4900,0.0,505,Sydjylland,2019,Afdeling,Sydvestjyske Museer,,,,,,,,,,,,5.714285714
