Name,Counts,lat,lon,address,country,new_name,Kommune,Region,ZipCode
Køn,6,56.15720795,10.211392604049607,"KØN, Domkirkepladsen, Latinerkvarteret, Midtbyen, Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark",Danmark,KØN,Aarhus Kommune,Region Midtjylland,8000
M/S Museet For Søfart,6,56.0389368,12.616268412598306,"M/S Museet for Søfart, Ny Kronborgvej, Helsingør, Helsingør Kommune, Region Hovedstaden, 3000, Danmark",Danmark,M/S Museet for Søfart,Helsingør Kommune,Region Hovedstaden,3000
Ribe Kunstmuseum,6,55.32922775,8.767589379743901,"Ribe Kunstmuseum, Sanct Nicolaj Gade, Ribe, Esbjerg Kommune, Region Syddanmark, 6760, Danmark",Danmark,Ribe Kunstmuseum,Esbjerg Kommune,Region Syddanmark,6760
Heart Herning Museum Of Contemporary Art,6,56.131799349999994,9.021837172764176,"HEART, Birk Centerpark, Birk, Herning Kommune, Region Midtjylland, 7400, Danmark",Danmark,HEART,Herning Kommune,Region Midtjylland,7400
Faaborg Museum,6,55.0944673,10.247718460714285,"Faaborg Museum for Fynsk Malerkunst, Grønnegade, Faaborg, Faaborg-Midtfyn Kommune, Region Syddanmark, 5600, Danmark",Danmark,Faaborg Museum for Fynsk Malerkunst,Faaborg-Midtfyn Kommune,Region Syddanmark,5600
Læsø Museum,6,57.2395068,10.990678423169907,"Læsø Saltsyderi, Hornfiskrønvej, Byrum, Læsø Kommune, Region Nordjylland, Danmark",Danmark,Læsø Saltsyderi,Læsø Kommune,Region Nordjylland,9940
Esbjerg Kunstmuseum,6,55.4642399,8.4505741,"Esbjerg Kunstmuseum, Havnegade, Rørkjær, Esbjerg, Esbjerg Kommune, Region Syddanmark, 6700, Danmark",Danmark,Esbjerg Kunstmuseum,Esbjerg Kommune,Region Syddanmark,6700
Rudersdal Museer,6,55.815997,12.539599,"5, Biblioteksalleen, Nærum, Rudersdal Kommune, Region Hovedstaden, 2850, Danmark",Danmark,,Rudersdal Kommune,Region Hovedstaden,2850
Louisiana Museum Of Modern Art,6,55.969351950000004,12.543157249937579,"Louisiana Museum of Modern Art, Louisevej, Gammel Humlebæk, Krogerup, Humlebæk, Fredensborg Kommune, Region Hovedstaden, 3050, Danmark",Danmark,Louisiana Museum of Modern Art,Fredensborg Kommune,Region Hovedstaden,3050
Limfjordsmuseet,6,56.96441875,9.240408897831816,"Limfjordsmuseet, Fischersgade, Løgstør, Vesthimmerlands Kommune, Region Nordjylland, 9670, Danmark",Danmark,Limfjordsmuseet,Vesthimmerlands Kommune,Region Nordjylland,9670
Lemvig Museum,6,56.54957845,8.301815355538409,"Lemvig Museum, Vestergade, Lemvig, Lemvig Kommune, Region Midtjylland, 7620, Danmark",Danmark,Lemvig Museum,Lemvig Kommune,Region Midtjylland,7620
Det Grønne Museum,6,56.4380894,10.3419651,"Det Grønne Museum, Randersvej, Norddjurs Kommune, Region Midtjylland, 8963, Danmark",Danmark,Det Grønne Museum,Norddjurs Kommune,Region Midtjylland,8963
Langelands Museum,6,54.9341834,10.717443142716983,"Langelands museum, Engdraget, Sommerlyst, Rudkøbing, Langeland Kommune, Region Syddanmark, 5900, Danmark",Danmark,Langelands museum,Langeland Kommune,Region Syddanmark,5900
Designmuseum Danmark,6,55.686374150000006,12.594407743890955,"Designmuseum Danmark, Bredgade, Frederiksstaden, Indre By, København, Københavns Kommune, Region Hovedstaden, 1265, Danmark",Danmark,Designmuseum Danmark,Københavns Kommune,Region Hovedstaden,1265
Den Hirschsprungske Samling,6,55.6899139,12.57748139097032,"Den Hirschsprungske Samling, Stockholmsgade, Østervold, Indre By, København, Københavns Kommune, Region Hovedstaden, 1307, Danmark",Danmark,Den Hirschsprungske Samling,Københavns Kommune,Region Hovedstaden,1307
Sorø Kunstmuseum,6,55.43277915,11.555497655872049,"Sorø Kunstmuseum, Storgade, Sorø, Sorø Kommune, Region Sjælland, 4180, Danmark",Danmark,Sorø Kunstmuseum,Sorø Kommune,Region Sjælland,4180
Køs Museum For Kunst I Det Offentlige Rum,6,55.45879105,12.183313546833428,"KØS Museum for kunst i det offentlige rum, Katekismusgade, Gammel Køge By, Køge, Køge Kommune, Region Sjælland, 4600, Danmark",Danmark,KØS Museum for kunst i det offentlige rum,Køge Kommune,Region Sjælland,4600
Randers Kunstmuseum,6,56.460458,10.040943,"2, Stemannsgade, Strømmen, Randers, Randers Kommune, Region Midtjylland, 8900, Danmark",Danmark,,Randers Kommune,Region Midtjylland,8900
Marstal Søfartsmuseum,6,54.854292,10.5211578,"Marstal Søfartsmuseum, Havnegade, Bondebyen, Marstal, Ærø Kommune, Region Syddanmark, 5960, Danmark",Danmark,Marstal Søfartsmuseum,Ærø Kommune,Region Syddanmark,5960
Danmarks Tekniske Museum,6,56.0221193,12.562480167427807,"Danmarks Tekniske Museum, Støberivej, Snekkersten, Helsingør Kommune, Region Hovedstaden, 3070, Danmark",Danmark,Danmarks Tekniske Museum,Helsingør Kommune,Region Hovedstaden,3070
Middelfart Museum,6,55.5062329,9.728231,"Middelfart Museum, Algade, Middelfart, Middelfart Kommune, Region Syddanmark, 5500, Danmark",Danmark,Middelfart Museum,Middelfart Kommune,Region Syddanmark,5500
Glud Museum,6,55.80673765,9.99329620929143,"Glud Museum, Gludvej, Over Glud, Glud, Hedensted Kommune, Region Midtjylland, Danmark",Danmark,Glud Museum,Hedensted Kommune,Region Midtjylland,7130
Give-Egnens Museum,6,55.84787145,9.252100454093611,"Give-Egnens Museum, Donneruplundvej, Give, Vejle Kommune, Region Syddanmark, 7323, Danmark",Danmark,Give-Egnens Museum,Vejle Kommune,Region Syddanmark,7323
Museum Mors,6,56.794546,8.853335,"9, Dueholmgade, Nykøbing Mors, Morsø Kommune, Region Nordjylland, 7900, Danmark",Danmark,,Morsø Kommune,Region Nordjylland,7900
Gammel Estrup Herregårdsmuseet,6,56.4379443,10.3444651,"Gammel Estrup Herregårdsmuseet Kiosk, Randersvej, Norddjurs Kommune, Region Midtjylland, 8963, Danmark",Danmark,Gammel Estrup Herregårdsmuseet Kiosk,Norddjurs Kommune,Region Midtjylland,8963
Museum Vestfyn,6,55.270537,9.890438,"19, Nordre Havnevej, Assens, Assens Kommune, Region Syddanmark, 5610, Danmark",Danmark,,Assens Kommune,Region Syddanmark,5610
Greve Museum,6,55.59093355,12.252255866374846,"Greve Museum, Bækgårdsvej, Greve, Greve Kommune, Region Sjælland, 2690, Danmark",Danmark,Greve Museum,Greve Kommune,Region Sjælland,2690
Furesø Museer,6,55.81566055131924,12.403042474041046,"Stavnsholtvej, Stavnsholt, Furesø Kommune, Region Hovedstaden, 3520, Danmark",Danmark,Stavnsholtvej,Furesø Kommune,Region Hovedstaden,3520
