 ; ; ;2018;2019;2020;2021;2022
16-24 years;;;;;;;
16-24 years;Men;;;;;;
16-24 years;Men;Paintings;19;24;23;22;25
16-24 years;Men;Sculptures;11;15;13;15;14
16-24 years;Men;Craft work;6;10;7;11;7
16-24 years;Men;Design;10;17;15;18;15
16-24 years;Men;Photography;15;21;22;21;17
16-24 years;Men;Installation art;5;8;7;7;6
16-24 years;Men;Video art;8;13;15;16;13
16-24 years;Men;Performance;3;7;6;5;5
16-24 years;Men;Other types;4;7;5;7;7
16-24 years;Men;I have not consumed graphic art within the last three months;64;56;59;59;56
16-24 years;Women;;;;;;
16-24 years;Women;Paintings;35;33;36;39;37
16-24 years;Women;Sculptures;23;20;22;23;22
16-24 years;Women;Craft work;14;17;19;17;17
16-24 years;Women;Design;21;25;29;27;25
16-24 years;Women;Photography;30;36;36;36;32
16-24 years;Women;Installation art;12;13;13;12;10
16-24 years;Women;Video art;13;15;16;16;14
16-24 years;Women;Performance;7;13;11;12;12
16-24 years;Women;Other types;3;4;6;5;5
16-24 years;Women;I have not consumed graphic art within the last three months;48;45;39;39;38
25-34 years;Women;;;;;;
25-34 years;Men;;;;;;
25-34 years;Men;Paintings;25;25;25;22;24
25-34 years;Men;Sculptures;12;14;14;19;17
25-34 years;Men;Craft work;8;9;10;11;9
25-34 years;Men;Design;12;15;16;15;14
25-34 years;Men;Photography;15;21;19;20;17
25-34 years;Men;Installation art;6;9;7;11;9
25-34 years;Men;Video art;6;10;11;12;8
25-34 years;Men;Performance;4;6;5;8;3
25-34 years;Men;Other types;3;4;4;5;4
25-34 years;Men;I have not consumed graphic art within the last three months;64;59;62;60;61
25-34 years;Women;;;;;;
25-34 years;Women;Paintings;30;29;30;33;32
25-34 years;Women;Sculptures;19;19;18;22;21
25-34 years;Women;Craft work;13;18;16;19;21
25-34 years;Women;Design;15;21;22;21;25
25-34 years;Women;Photography;23;26;26;27;30
25-34 years;Women;Installation art;9;11;10;13;15
25-34 years;Women;Video art;6;7;8;9;12
25-34 years;Women;Performance;5;6;6;5;6
25-34 years;Women;Other types;4;4;3;4;4
25-34 years;Women;I have not consumed graphic art within the last three months;54;52;53;50;48
35-44 years;Women;;;;;;
35-44 years;Men;;;;;;
35-44 years;Men;Paintings;21;23;21;24;24
35-44 years;Men;Sculptures;10;13;12;16;13
35-44 years;Men;Craft work;6;7;8;8;8
35-44 years;Men;Design;8;12;11;14;15
35-44 years;Men;Photography;14;16;15;16;18
35-44 years;Men;Installation art;4;6;4;8;6
35-44 years;Men;Video art;4;6;4;6;9
35-44 years;Men;Performance;2;5;2;2;4
35-44 years;Men;Other types;3;4;4;3;4
35-44 years;Men;I have not consumed graphic art within the last three months;68;64;67;66;63
35-44 years;Women;;;;;;
35-44 years;Women;Paintings;28;29;25;25;32
35-44 years;Women;Sculptures;16;16;15;15;17
35-44 years;Women;Craft work;12;15;13;16;15
35-44 years;Women;Design;13;17;16;16;19
35-44 years;Women;Photography;15;20;18;18;22
35-44 years;Women;Installation art;6;6;7;7;9
35-44 years;Women;Video art;3;5;4;5;7
35-44 years;Women;Performance;3;4;3;3;5
35-44 years;Women;Other types;3;3;3;5;3
35-44 years;Women;I have not consumed graphic art within the last three months;60;55;61;59;57
45-54 years;Women;;;;;;
45-54 years;Men;;;;;;
45-54 years;Men;Paintings;25;26;22;22;26
45-54 years;Men;Sculptures;15;15;13;13;16
45-54 years;Men;Craft work;8;10;8;8;10
45-54 years;Men;Design;9;13;12;9;12
45-54 years;Men;Photography;13;17;14;14;16
45-54 years;Men;Installation art;5;5;4;4;5
45-54 years;Men;Video art;4;5;4;3;6
45-54 years;Men;Performance;2;2;2;2;4
45-54 years;Men;Other types;2;3;2;4;4
45-54 years;Men;I have not consumed graphic art within the last three months;67;65;69;67;66
45-54 years;Women;;;;;;
45-54 years;Women;Paintings;33;33;30;37;35
45-54 years;Women;Sculptures;18;19;17;20;20
45-54 years;Women;Craft work;17;21;17;20;20
45-54 years;Women;Design;12;17;17;21;17
45-54 years;Women;Photography;14;18;17;18;19
45-54 years;Women;Installation art;4;7;6;7;7
45-54 years;Women;Video art;2;4;4;5;4
45-54 years;Women;Performance;1;4;2;3;3
45-54 years;Women;Other types;2;4;4;4;3
45-54 years;Women;I have not consumed graphic art within the last three months;56;56;59;52;54
55-64 years;Women;;;;;;
55-64 years;Men;;;;;;
55-64 years;Men;Paintings;31;26;24;28;29
55-64 years;Men;Sculptures;15;14;12;15;14
55-64 years;Men;Craft work;10;11;10;8;11
55-64 years;Men;Design;9;11;12;11;14
55-64 years;Men;Photography;13;14;14;12;16
55-64 years;Men;Installation art;3;3;3;4;5
55-64 years;Men;Video art;2;2;2;2;4
55-64 years;Men;Performance;1;2;2;2;2
55-64 years;Men;Other types;2;3;3;2;5
55-64 years;Men;I have not consumed graphic art within the last three months;62;68;67;65;63
55-64 years;Women;;;;;;
55-64 years;Women;Paintings;41;40;31;36;39
