 ; ;2023Q1;2023Q2;2023Q3;2023Q4
Local (hometown or nearby areas);;;;;
Local (hometown or nearby areas);Men;13;13;15;13
Local (hometown or nearby areas);Women;17;16;17;19
Local (hometown or nearby areas);16-24 years;15;14;12;18
Local (hometown or nearby areas);25-34 years;18;20;20;20
Local (hometown or nearby areas);35-44 years;16;12;16;17
Local (hometown or nearby areas);45-54 years;12;12;15;10
Local (hometown or nearby areas);55-64 years;11;11;12;15
Local (hometown or nearby areas);65-74 years;16;16;17;18
Local (hometown or nearby areas);75 years and over;17;17;17;16
In Denmark (not local area);;;;;
In Denmark (not local area);Men;12;13;19;14
In Denmark (not local area);Women;17;15;22;19
In Denmark (not local area);16-24 years;16;15;17;19
In Denmark (not local area);25-34 years;11;11;17;14
In Denmark (not local area);35-44 years;13;12;24;14
In Denmark (not local area);45-54 years;15;15;20;18
In Denmark (not local area);55-64 years;14;12;20;19
In Denmark (not local area);65-74 years;16;15;23;19
In Denmark (not local area);75 years and over;14;16;21;15
Abroad e.g. during vacation;;;;;
Abroad e.g. during vacation;Men;5;7;12;8
Abroad e.g. during vacation;Women;6;7;10;12
Abroad e.g. during vacation;16-24 years;9;11;14;14
Abroad e.g. during vacation;25-34 years;7;8;14;13
Abroad e.g. during vacation;35-44 years;5;6;12;9
Abroad e.g. during vacation;45-54 years;5;9;17;11
Abroad e.g. during vacation;55-64 years;5;7;9;10
Abroad e.g. during vacation;65-74 years;5;6;4;7
Abroad e.g. during vacation;75 years and over;3;5;6;6
Visited a museum etc.;;;;;
Visited a museum etc.;Men;23;24;32;27
Visited a museum etc.;Women;31;29;35;35
Visited a museum etc.;16-24 years;33;32;35;38
Visited a museum etc.;25-34 years;29;28;36;31
Visited a museum etc.;35-44 years;27;22;35;29
Visited a museum etc.;45-54 years;23;26;35;29
Visited a museum etc.;55-64 years;23;24;29;31
Visited a museum etc.;65-74 years;27;28;32;32
Visited a museum etc.;75 years and over;25;25;32;26
