 ; ; ;2018;2019;2020;2021;2022
16-24 years;;;;;;;
16-24 years;Men;;;;;;
16-24 years;Men;Cultural history museum;14;14;8;13;17
16-24 years;Men;Art Museum;14;11;11;14;15
16-24 years;Men;Natural history or science museum;4;5;5;4;4
16-24 years;Men;Cultural heritage site or monument;9;11;..;..;..
16-24 years;Men;Other types of museums;3;..;..;..;..
16-24 years;Men;Have not visited a museum;67;71;80;76;72
16-24 years;Men;Visited a museum etc.;32;27;19;23;27
16-24 years;Women;;;;;;
16-24 years;Women;Cultural history museum;15;15;11;18;15
16-24 years;Women;Art Museum;24;20;16;23;28
16-24 years;Women;Natural history or science museum;5;5;4;5;4
16-24 years;Women;Cultural heritage site or monument;12;13;..;..;..
16-24 years;Women;Other types of museums;5;..;..;..;..
16-24 years;Women;Have not visited a museum;60;64;74;64;61
16-24 years;Women;Visited a museum etc.;39;35;25;36;38
25-34 years;Women;;;;;;
25-34 years;Men;;;;;;
25-34 years;Men;Cultural history museum;12;12;9;13;16
25-34 years;Men;Art Museum;15;13;9;16;17
25-34 years;Men;Natural history or science museum;4;4;4;6;7
25-34 years;Men;Cultural heritage site or monument;12;13;..;..;..
25-34 years;Men;Other types of museums;5;..;..;..;..
25-34 years;Men;Have not visited a museum;67;68;82;75;71
25-34 years;Men;Visited a museum etc.;33;30;17;24;27
25-34 years;Women;;;;;;
25-34 years;Women;Cultural history museum;15;14;10;14;15
25-34 years;Women;Art Museum;21;15;13;18;19
25-34 years;Women;Natural history or science museum;4;6;3;5;7
25-34 years;Women;Cultural heritage site or monument;13;15;..;..;..
25-34 years;Women;Other types of museums;4;..;..;..;..
25-34 years;Women;Have not visited a museum;61;65;78;71;68
25-34 years;Women;Visited a museum etc.;38;35;21;29;32
35-44 years;Women;;;;;;
35-44 years;Men;;;;;;
35-44 years;Men;Cultural history museum;13;11;10;13;17
35-44 years;Men;Art Museum;13;9;6;10;10
35-44 years;Men;Natural history or science museum;6;5;4;7;7
35-44 years;Men;Cultural heritage site or monument;13;14;..;..;..
35-44 years;Men;Other types of museums;5;..;..;..;..
35-44 years;Men;Have not visited a museum;66;71;83;76;73
35-44 years;Men;Visited a museum etc.;33;27;16;24;26
35-44 years;Women;;;;;;
35-44 years;Women;Cultural history museum;14;13;9;12;15
35-44 years;Women;Art Museum;15;12;10;13;14
35-44 years;Women;Natural history or science museum;4;4;4;6;7
35-44 years;Women;Cultural heritage site or monument;12;15;..;..;..
35-44 years;Women;Other types of museums;5;..;..;..;..
35-44 years;Women;Have not visited a museum;64;65;81;74;71
35-44 years;Women;Visited a museum etc.;35;34;18;25;28
45-54 years;Women;;;;;;
45-54 years;Men;;;;;;
45-54 years;Men;Cultural history museum;12;13;9;14;13
45-54 years;Men;Art Museum;12;11;8;9;13
45-54 years;Men;Natural history or science museum;2;3;3;4;4
45-54 years;Men;Cultural heritage site or monument;13;16;..;..;..
45-54 years;Men;Other types of museums;5;..;..;..;..
45-54 years;Men;Have not visited a museum;69;70;84;78;76
45-54 years;Men;Visited a museum etc.;30;29;15;21;22
45-54 years;Women;;;;;;
45-54 years;Women;Cultural history museum;12;12;9;14;14
45-54 years;Women;Art Museum;17;16;10;17;19
45-54 years;Women;Natural history or science museum;2;3;2;3;3
45-54 years;Women;Cultural heritage site or monument;14;18;..;..;..
45-54 years;Women;Other types of museums;6;..;..;..;..
45-54 years;Women;Have not visited a museum;62;66;82;71;70
45-54 years;Women;Visited a museum etc.;37;33;17;28;28
55-64 years;Women;;;;;;
55-64 years;Men;;;;;;
55-64 years;Men;Cultural history museum;11;13;7;11;9
55-64 years;Men;Art Museum;16;9;7;9;13
55-64 years;Men;Natural history or science museum;2;3;2;2;3
55-64 years;Men;Cultural heritage site or monument;14;15;..;..;..
55-64 years;Men;Other types of museums;6;..;..;..;..
55-64 years;Men;Have not visited a museum;66;71;85;80;79
55-64 years;Men;Visited a museum etc.;34;28;14;19;19
55-64 years;Women;;;;;;
55-64 years;Women;Cultural history museum;14;15;7;14;13
55-64 years;Women;Art Museum;21;16;10;15;20
55-64 years;Women;Natural history or science museum;2;3;2;3;3
55-64 years;Women;Cultural heritage site or monument;16;18;..;..;..
55-64 years;Women;Other types of museums;9;..;..;..;..
55-64 years;Women;Have not visited a museum;57;63;82;72;70
55-64 years;Women;Visited a museum etc.;42;35;16;26;29
65-74 years;Women;;;;;;
65-74 years;Men;;;;;;
65-74 years;Men;Cultural history museum;14;14;11;12;16
65-74 years;Men;Art Museum;15;12;9;11;13
65-74 years;Men;Natural history or science museum;2;3;1;2;3
65-74 years;Men;Cultural heritage site or monument;14;15;..;..;..
65-74 years;Men;Other types of museums;11;..;..;..;..
65-74 years;Men;Have not visited a museum;62;66;81;78;73
65-74 years;Men;Visited a museum etc.;38;32;17;20;25
65-74 years;Women;;;;;;
65-74 years;Women;Cultural history museum;16;17;7;15;17
65-74 years;Women;Art Museum;22;17;11;20;21
