 ; ;2023Q1;2023Q2;2023Q3;2023Q4
Cultural history museum;;;;;
Cultural history museum;Men;13;14;20;15
Cultural history museum;Women;13;13;20;18
Cultural history museum;16-24 years;15;17;21;19
Cultural history museum;25-34 years;15;14;18;18
Cultural history museum;35-44 years;16;12;25;16
Cultural history museum;45-54 years;11;14;21;15
Cultural history museum;55-64 years;9;11;18;18
Cultural history museum;65-74 years;16;15;20;18
Cultural history museum;75 years and over;9;11;17;13
Art Museum;;;;;
Art Museum;Men;13;13;16;14
Art Museum;Women;21;20;19;22
Art Museum;16-24 years;24;20;20;22
Art Museum;25-34 years;16;18;20;18
Art Museum;35-44 years;12;12;14;16
Art Museum;45-54 years;16;15;20;17
Art Museum;55-64 years;17;16;15;18
Art Museum;65-74 years;17;17;17;20
Art Museum;75 years and over;20;19;18;17
Natural history or science museum;;;;;
Natural history or science museum;Men;4;4;7;5
Natural history or science museum;Women;5;4;6;6
Natural history or science museum;16-24 years;5;4;5;8
Natural history or science museum;25-34 years;7;6;9;7
Natural history or science museum;35-44 years;7;5;10;7
Natural history or science museum;45-54 years;3;3;5;5
Natural history or science museum;55-64 years;3;2;5;4
Natural history or science museum;65-74 years;3;3;5;3
Natural history or science museum;75 years and over;2;2;5;2
Cultural heritage site or monument;;;;;
Cultural heritage site or monument;Men;..;..;..;..
Cultural heritage site or monument;Women;..;..;..;..
Cultural heritage site or monument;16-24 years;..;..;..;..
Cultural heritage site or monument;25-34 years;..;..;..;..
Cultural heritage site or monument;35-44 years;..;..;..;..
Cultural heritage site or monument;45-54 years;..;..;..;..
Cultural heritage site or monument;55-64 years;..;..;..;..
Cultural heritage site or monument;65-74 years;..;..;..;..
Cultural heritage site or monument;75 years and over;..;..;..;..
Other types of museums;;;;;
Other types of museums;Men;..;..;..;..
Other types of museums;Women;..;..;..;..
Other types of museums;16-24 years;..;..;..;..
Other types of museums;25-34 years;..;..;..;..
Other types of museums;35-44 years;..;..;..;..
Other types of museums;45-54 years;..;..;..;..
Other types of museums;55-64 years;..;..;..;..
Other types of museums;65-74 years;..;..;..;..
Other types of museums;75 years and over;..;..;..;..
Have not visited a museum;;;;;
Have not visited a museum;Men;76;75;66;73
Have not visited a museum;Women;68;70;64;63
Have not visited a museum;16-24 years;66;68;64;61
Have not visited a museum;25-34 years;70;71;63;68
Have not visited a museum;35-44 years;72;77;64;70
Have not visited a museum;45-54 years;75;74;64;69
Have not visited a museum;55-64 years;76;75;70;68
Have not visited a museum;65-74 years;71;71;66;66
Have not visited a museum;75 years and over;73;72;65;71
Visited a museum etc.;;;;;
Visited a museum etc.;Men;23;24;32;27
Visited a museum etc.;Women;31;29;35;35
Visited a museum etc.;16-24 years;33;32;35;38
Visited a museum etc.;25-34 years;29;28;36;31
Visited a museum etc.;35-44 years;27;22;35;29
Visited a museum etc.;45-54 years;23;26;35;29
Visited a museum etc.;55-64 years;23;24;29;31
Visited a museum etc.;65-74 years;27;28;32;32
Visited a museum etc.;75 years and over;25;25;32;26
